Image source,Title,Creator,Price($),N°Sale,Rate,N°Reviews,Date,Url
https://graphicriver.img.customer.envatousercontent.com/files/28860934/Fetish-accessoires-package-template.png?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=622cee1ccbc0ed6286da51bce5c4dff8,Accessory Fetish Package ,BaGeRa,6,80 ,2.0,4,2012-06-13,https://graphicriver.net/item/accessory-fetish-package-template/2493864
https://graphicriver.img.customer.envatousercontent.com/files/169066027/modern-package-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f12f0ba55d2d5f3ef5f3861475bce77a,Package Design ,mihalymm,13,79 ,2.0,4,2016-01-29,https://graphicriver.net/item/package-design-template/14617464
https://graphicriver.img.customer.envatousercontent.com/files/193390376/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=18867df2a59506385a108f77d779be6f,Dry Fuits Bag ,Artsoldiers,22,78 ,0,0,2016-06-28,https://graphicriver.net/item/dry-fuits-bag-packaging/16828662
https://graphicriver.img.customer.envatousercontent.com/files/136715054/ESCALIER-LABELpreview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f4d9cc83a7ac29a8ec7820c48e8bf071,Champagne Label Vector ,ShinyPixel,9,78 ,0,0,2015-03-16,https://graphicriver.net/item/champagne-label-vector-template/10716444
https://graphicriver.img.customer.envatousercontent.com/files/243379859/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=92bc277fc4534690e742be2ec2432b53,Juice Bottle Label  V3,Artsignz,8,77 ,0,0,2016-11-02,https://graphicriver.net/item/juice-bottle-label-template-v3/18575782
https://graphicriver.img.customer.envatousercontent.com/files/136610093/GrandAgio-LabelPREVIEW.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=c79287ff2e1e694fec39d075cb5f4af4,Grand'Agio - Wine Label Vector ,ShinyPixel,9,77 ,0,0,2015-03-06,https://graphicriver.net/item/grandagio-wine-label-vector-template/10595108
https://graphicriver.img.customer.envatousercontent.com/files/136616865/REDWINELABELpreview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=eae0ef35b95813a022a7ac08719cc0f3,Red Wine Label Vector ,ShinyPixel,9,75 ,0,0,2015-02-27,https://graphicriver.net/item/red-wine-label-vector-template/10512547
https://graphicriver.img.customer.envatousercontent.com/files/28794171/business+software+box+preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=ed279a25ede928fbf25d46df408f4847,Business Software Box,out00,6,75 ,3.0,7,2012-06-12,https://graphicriver.net/item/business-software-box/2486705
https://graphicriver.img.customer.envatousercontent.com/files/31008928/CD_sleeve_II_zarins_W590px.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b934cd1816a2d009c6d40f15bb34517f,CD Sleeve v2,zarins,8,74 ,4.67,6,2012-07-23,https://graphicriver.net/item/cd-sleeve-v2/2692095
https://graphicriver.img.customer.envatousercontent.com/files/29104056/Bus_London_Red_Double_Decker.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3807bd5a3916fd6bcfe80035e94a74f7,Bus in a Box; Red Double Decker London Bus,joiaco,8,73 ,0,0,2012-06-18,https://graphicriver.net/item/bus-in-a-box-red-double-decker-london-bus/2515500
https://graphicriver.img.customer.envatousercontent.com/files/162767493/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=fa01aa27e9e8dc09c5573419c16b7108,Label Design  Wine & Cider Bottle,designstudios,9,73 ,0,0,2015-12-16,https://graphicriver.net/item/label-design-template-wine-cider-bottle/14039498
https://graphicriver.img.customer.envatousercontent.com/files/120163903/box-template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=ed9e347add333c5f29010c62cc2d9e65,Box Design,mihalymm,13,69 ,0,0,2015-01-30,https://graphicriver.net/item/box-design/10229161
https://graphicriver.img.customer.envatousercontent.com/files/136614227/WHITESPARKpreview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=0bcc5e96429dd422c1fcb89e25e6729b,Sparkling Wine Label Vector ,ShinyPixel,9,67 ,0,0,2015-03-04,https://graphicriver.net/item/sparkling-wine-label-vector-template/10576130
https://graphicriver.img.customer.envatousercontent.com/files/28893397/Speed_box_presents-01.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=0c0f3562a9f1fcd15ea9cacb573a2ad4,Speed Multipurpose Package ,dijiart,6,66 ,0,0,2012-06-14,https://graphicriver.net/item/speed-multipurpose-package-template/2497006
https://graphicriver.img.customer.envatousercontent.com/files/222004510/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f791b4674971ad9d8f9c290e1c2e12fa,Supplement Label  Vol-06,Artsoldiers,18,65 ,0,0,2017-03-06,https://graphicriver.net/item/supplement-label-template-vol06/19530135
https://graphicriver.img.customer.envatousercontent.com/files/29097922/Notro_pack_show.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=2607c5b76f9e2af877fb703201dcf5e0,NOTRO Multipurpose Box ,dijiart,7,64 ,3.0,4,2012-06-15,https://graphicriver.net/item/notro-multipurpose-box-template/2502023
https://graphicriver.img.customer.envatousercontent.com/files/28892478/Software-Packaging-Template.png?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=d5338014feed144db393101af0491fa0,Software Package ,BaGeRa,6,60 ,0,0,2012-06-14,https://graphicriver.net/item/software-package-template/2496946
https://graphicriver.img.customer.envatousercontent.com/files/76304654/CupcakeBox_590.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=53932b251f6a53f81236d8d59b3235af,Cupcake Package,MeKeAloha,6,59 ,0,0,2013-12-19,https://graphicriver.net/item/cupcake-package-/6384381
https://graphicriver.img.customer.envatousercontent.com/files/180520757/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=4842ce19b96cbbeaa9e44ddc92204dfa,Label Design  Wine Cider Vines Fortified Wine,designstudios,9,59 ,0,0,2016-04-07,https://graphicriver.net/item/label-design-template-wine-cider-vines-fortified-wine/15651267
https://graphicriver.img.customer.envatousercontent.com/files/213495223/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=69a18345ac1f0ea2269b380712f03c9e,Supplement Label  Vol-05,Artsoldiers,19,59 ,0,0,2016-11-14,https://graphicriver.net/item/supplement-label-template-vol05/18712464
https://graphicriver.img.customer.envatousercontent.com/files/165364755/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=8b0a5585977335687aaee86dc4765e4d,Supplement Label ,jumpingideas,25,57 ,0,0,2015-12-31,https://graphicriver.net/item/supplement-label-templates/14279866
https://graphicriver.img.customer.envatousercontent.com/files/28644798/Fresh-Perfume-and-fragrance-package-Template-Design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3e54ab275c56708fc5e8e59f3c0ca0f0,Fresh Perfume and Fragrance Package ,BaGeRa,6,55 ,5.0,4,2012-06-09,https://graphicriver.net/item/fresh-perfume-and-fragrance-package-template/2474755
https://graphicriver.img.customer.envatousercontent.com/files/61186987/Sun_suntan_lotion_spray_beauty_product.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=5f9ecf7160277c2025108a6eddb8b757,Summer Suntan or Beauty Product - 2 Versions,joiaco,7,53 ,4.0,4,2013-05-21,https://graphicriver.net/item/summer-suntan-or-beauty-product-2-versions/4705990
https://graphicriver.img.customer.envatousercontent.com/files/119644989/package-design-template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b8c71d4b75fa094983e0fc5d6dbdbe2a,Box ,mihalymm,13,51 ,0,0,2015-01-27,https://graphicriver.net/item/box-template/10185359
https://graphicriver.img.customer.envatousercontent.com/files/179745717/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=e3670a71ac445e4fa4ea09eb54ab6380,Label Design  Candy Bar Nutrition Granola Bar,designstudios,9,50 ,0,0,2016-03-30,https://graphicriver.net/item/label-design-template-candy-bar-nutrition-granola-bar/15539262
https://graphicriver.img.customer.envatousercontent.com/files/124859935/cosmetic-tube.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=c941e91850f078adbc405d7ac1c85809,Tube Design ,mihalymm,13,49 ,0,0,2015-03-09,https://graphicriver.net/item/tube-design-templates/10631149
https://graphicriver.img.customer.envatousercontent.com/files/127803593/Image-Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=8cb37ba1c1fb4f16338d9bbc1a517922,Antique Design Shopping Bag,generousart,7,48 ,0,0,2015-03-31,https://graphicriver.net/item/antique-design-shopping-bag/10926294
https://graphicriver.img.customer.envatousercontent.com/files/173874018/Sauce+Label+2+Image+Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=e75130089d6d51d46762ba6622756d8d,Sauce Jar Label  2 - Generic,CreativB,7,47 ,0,0,2016-02-24,https://graphicriver.net/item/sauce-jar-label-templates-2-generic/14952370
https://graphicriver.img.customer.envatousercontent.com/files/218589992/Cover590.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=d8c2311c07e52a94e3d266a7b1cce81d,Tea  label,Plexa_Designs,89,47 ,0,0,2016-12-20,https://graphicriver.net/item/beautiful-tea-packaging-label/19181046
https://graphicriver.img.customer.envatousercontent.com/files/133837682/bottle-label-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=2549a99a22e59cf7f4ed1fb9d962b307,Bottle Label Design,mihalymm,12,46 ,0,0,2015-05-23,https://graphicriver.net/item/bottle-label-design/11449680
https://graphicriver.img.customer.envatousercontent.com/files/185289088/spice-package-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=5737e6ae693af7184081900a52bdb715,Spice Package Design,mihalymm,12,46 ,0,0,2016-05-10,https://graphicriver.net/item/spice-package-design/16064603
https://graphicriver.img.customer.envatousercontent.com/files/202997806/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=75ccc10d43e0dadb6bbfb7f2b33daf95,Pet Food Bag  Design ,Artsoldiers,22,45 ,0,0,2016-09-07,https://graphicriver.net/item/pet-food-bag-packaging-design-template/17740003
https://graphicriver.img.customer.envatousercontent.com/files/107705064/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=92d83d3734941d579cbc17427272f373,Ground Beef Label,sgcanturk,9,45 ,0,0,2014-10-09,https://graphicriver.net/item/ground-beef-label/9137924
https://graphicriver.img.customer.envatousercontent.com/files/36267151/Beauty_product_soap_lotion.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=1b61f0e69ac19319ab47f74f0562d66e,Beauty/Cosmetic Box; Single Color Tints Print,joiaco,6,45 ,0,0,2012-10-05,https://graphicriver.net/item/beautycosmetic-box-single-color-tints-print/3146594
https://graphicriver.img.customer.envatousercontent.com/files/29761423/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=d5782ac0e78851d0d7a6fa6fb7ac5437,Modern Wine ,luuqas,4,44 ,3.5,4,2012-06-27,https://graphicriver.net/item/modern-wine-packaging/2568381
https://graphicriver.img.customer.envatousercontent.com/files/28183120/TreatBox_590.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=8fdf5a880ff32dfe5685aad06b6d4e8f,Treat Box,MeKeAloha,6,44 ,0,0,2012-06-01,https://graphicriver.net/item/treat-box/2414366
https://graphicriver.img.customer.envatousercontent.com/files/28351858/PreviewImage.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=794b291430ab4d0d17be8fde9086a8d2,Bottle Display Box - ,pirretjp,6,44 ,0,0,2012-06-06,https://graphicriver.net/item/bottle-display-box-packaging/2452722
https://graphicriver.img.customer.envatousercontent.com/files/60635285/black_and_white_modern_packaging_box.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=12ed2ac148ecd0e9400d82d4ba472454,Cosmetic Box. Black & White One Color Print,joiaco,7,44 ,0,0,2013-07-10,https://graphicriver.net/item/cosmetic-box-black-white-one-color-print/5088918
https://graphicriver.img.customer.envatousercontent.com/files/243377169/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f8f7cc0803d0d2b85834c9516b130ccf,Juice Bottle Label  V4,Artsignz,9,44 ,0,0,2017-03-18,https://graphicriver.net/item/juice-bottle-label-template-v4/19582601
https://graphicriver.img.customer.envatousercontent.com/files/237903992/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f1f22960b467fce89e848d809166395f,Seeds Pouch ,monostudio,23,43 ,0,0,2017-12-09,https://graphicriver.net/item/seeds-pouch-packaging/21079067
https://graphicriver.img.customer.envatousercontent.com/files/302774402/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3dff2ff26d4abb4ba4fbfc221ec0aa02,Vitamin Label ,Dkgray,18,43 ,0,0,2020-08-26,https://graphicriver.net/item/vitamin-label-template/28292037
https://graphicriver.img.customer.envatousercontent.com/files/37253113/Fragrance_box_men_template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=af596c3c6f7e64e701c297cfd3c2a03c,Men's Fragrance or Cosmetic Box ,joiaco,5,42 ,0,0,2012-10-18,https://graphicriver.net/item/mens-fragrance-or-cosmetic-box-template/3228541
https://graphicriver.img.customer.envatousercontent.com/files/28798908/Pizza+Presentation+Package-01.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=d910c215b8669582689b58b22d3d4b6d,Pizza Package  Vector,dijiart,6,42 ,0,0,2012-06-12,https://graphicriver.net/item/pizza-package-template-vector/2486867
https://graphicriver.img.customer.envatousercontent.com/files/237117944/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=4dfb70ae1bd4ea7ea740c43b509a1461,Supplement  Label,monostudio,23,41 ,0,0,2017-11-21,https://graphicriver.net/item/supplement-packaging-label/20997408
https://graphicriver.img.customer.envatousercontent.com/files/2347380/Preview+Image.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=698c9870b3609bdd6ad7dd470a96b4ad,Premium  Products,osky,7,41 ,0,0,2011-04-27,https://graphicriver.net/item/premium-packaging-products/235412
https://graphicriver.img.customer.envatousercontent.com/files/75195499/Label-Template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=a715e6109b45c8c1a63c8232f9a9aec6,Labels,mihalymm,12,40 ,0,0,2013-12-07,https://graphicriver.net/item/labels/6337695
https://graphicriver.img.customer.envatousercontent.com/files/28439427/Retro-and-vintage-gift-box.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3a1130c0e2a324cb2172921c54b71f65,Retro and Vintage Gift Box Package ,BaGeRa,6,39 ,0,0,2012-06-06,https://graphicriver.net/item/retro-and-vintage-gift-box-package-template/2458118
https://graphicriver.img.customer.envatousercontent.com/files/240171302/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=1360822fcd8ad2b6b035a09c53038534,Honey  Label,monostudio,20,38 ,0,0,2018-01-24,https://graphicriver.net/item/honey-packaging-label/21298327
https://graphicriver.img.customer.envatousercontent.com/files/74453620/Label-Product.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=542b293b02c250533d19491392e5013c,Label ,mihalymm,12,38 ,0,0,2013-11-29,https://graphicriver.net/item/label-template/6266389
https://graphicriver.img.customer.envatousercontent.com/files/28760153/PreviewImage.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=861a7abe2b13f820e8d203f02e27f6e3,Product Display Box - ,pirretjp,6,37 ,0,0,2012-06-12,https://graphicriver.net/item/product-display-box-packaging/2483591
https://graphicriver.img.customer.envatousercontent.com/files/151657523/beer-label-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f620b4c7a0d34bfdc5d8b03202e3e32c,Beer Label Designs,mihalymm,12,36 ,0,0,2015-10-06,https://graphicriver.net/item/beer-label-designs/13091712
https://graphicriver.img.customer.envatousercontent.com/files/196166647/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=dd9215f31bdb2208f32aaa792e699148,Supplement Label  Vol-10,jumpingideas,25,36 ,4.67,3,2016-07-15,https://graphicriver.net/item/supplement-label-template-vol10/17097021
https://graphicriver.img.customer.envatousercontent.com/files/219758327/Preview+copy.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=e52d8c07a066463892852e4c30ddaf8e,Beer Label ,graphicgrow,30,36 ,0,0,2017-01-17,https://graphicriver.net/item/beer-label-template/19299704
https://graphicriver.img.customer.envatousercontent.com/files/74244612/Label-Product.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=850ceed94d3906ee2fc4ba94c814903b,Product Label ,mihalymm,12,36 ,0,0,2013-11-28,https://graphicriver.net/item/product-label-templates/6252576
https://graphicriver.img.customer.envatousercontent.com/files/233586689/Image+Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=33516ad1881bf203882b48a03c138ba5,Spices  Label,monostudio,20,36 ,0,0,2017-09-20,https://graphicriver.net/item/spices-packaging-label/20655639
https://graphicriver.img.customer.envatousercontent.com/files/197676726/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=1835f5e8697c2392d4ba8fc59493497c,Supplement label  Vol-13,jumpingideas,25,35 ,0,0,2016-07-27,https://graphicriver.net/item/supplement-label-template-vol13/17243881
https://graphicriver.img.customer.envatousercontent.com/files/106560547/Soap-Design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=d45d8e8c479e7cc2a405793eb3df7aab,Soap Label Design,mihalymm,12,35 ,0,0,2014-11-09,https://graphicriver.net/item/soap-label-design/9022940
https://graphicriver.img.customer.envatousercontent.com/files/237863508/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=42da9edb289298cc4a21335f191b57be,Whey protein Label  Vol-02,graphicgrow,30,35 ,0,0,2017-12-05,https://graphicriver.net/item/whey-protein-label-template-vol02/21074887
https://graphicriver.img.customer.envatousercontent.com/files/175720963/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=da93c9550322914741adecf29a2eae47,Supplement Label ,jumpingideas,25,34 ,0,0,2016-03-07,https://graphicriver.net/item/supplement-label-template/15223778
https://graphicriver.img.customer.envatousercontent.com/files/310812613/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=96e3ed12a2e03aaef86b3e59d3d69db8,CBD Oil Label,Dkgray,16,34 ,0,0,2020-11-05,https://graphicriver.net/item/cbd-oil-label/29199492
https://graphicriver.img.customer.envatousercontent.com/files/314468540/Face-Mask.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b01871f9cfeaa70d03dee055266478cc,Face Mask Box ,packgallery,17,34 ,0,0,2020-04-20,https://graphicriver.net/item/face-mask-box-templates/26317981
https://graphicriver.img.customer.envatousercontent.com/files/30645884/Wine_presentation_gift_box.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=91a225805798ccc71583bc2f4acb0047,Wine & Liquor; Gift Presentation Box,joiaco,6,33 ,0,0,2012-07-16,https://graphicriver.net/item/wine-liquor-gift-presentation-box-/2657828
https://graphicriver.img.customer.envatousercontent.com/files/30873631/Cylinder_590.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=a16cc73b4f5fafd321aa4d9dc37ca6f1,Cylinder Package ,MeKeAloha,7,33 ,0,0,2012-07-20,https://graphicriver.net/item/cylinder-package-template/2679852
https://graphicriver.img.customer.envatousercontent.com/files/220094260/590.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=4adbe2565b4dffc58f12f9e5a0f05e58,Cosmetic Branding  labels,Plexa_Designs,109,33 ,0,0,2017-01-19,https://graphicriver.net/item/cosmetic-branding-packaging-labels/19316847
https://graphicriver.img.customer.envatousercontent.com/files/245374069/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f65417238c2fad6b9addfe22ea53a394,Coffee Label Design,Dkgray,24,33 ,0,0,2018-04-20,https://graphicriver.net/item/coffee-label-design/21795833
https://graphicriver.img.customer.envatousercontent.com/files/144223507/soap-box-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=c57bf85a10d4a616f945075265782218,Soap Box,mihalymm,12,33 ,0,0,2015-08-06,https://graphicriver.net/item/soap-box/12372615
https://graphicriver.img.customer.envatousercontent.com/files/240682649/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=9d4655dfe65a2dadbc4ca60c9133365f,Beard Oil Label  Design,CreativeComplex,8,33 ,0,0,2018-02-03,https://graphicriver.net/item/beard-oil-label-packaging-design/21348383
https://graphicriver.img.customer.envatousercontent.com/files/303103337/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f82d1a8a4a0c410cca4cbc5cd9355a3b,Omega 3 Label ,Dkgray,15,33 ,0,0,2020-08-31,https://graphicriver.net/item/omega-3-label-template/28327787
