title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Veer,movie,"Action, Adventure, Drama",2010,tt1185412,4.6,8927,"AU, IN, US"
"The Ruling Class",movie,"Comedy, Drama, Musical",1972,tt0069198,7.2,6933,"CA, US"
"The Strange Vice of Mrs. Wardh",movie,"Crime, Horror, Mystery",1971,tt0066412,6.9,5686,US
"At Midnight I'll Take Your Soul",movie,Horror,1964,tt0059440,6.9,4055,US
"This Night I'll Possess Your Corpse",movie,Horror,1967,tt0060380,7,2229,US
"Scanner Cop",movie,"Horror, Sci-Fi",1994,tt0111082,5.4,2173,ES
"Alice in Wonderland",movie,"Adventure, Comedy, Family",1999,tt0164993,6.3,9055,US
"Motel Hell",movie,"Comedy, Horror, Thriller",1980,tt0081184,6,14062,US
"Dark Night of the Scarecrow",movie,Horror,1981,tt0082235,6.7,8835,"CA, US"
Metroland,movie,"Comedy, Drama",1997,tt0119665,6.3,3706,US
Kwaidan,movie,"Drama, Fantasy, Horror",1964,tt0058279,7.9,20836,GB
"Love's Unending Legacy",movie,"Drama, Family, Romance",2007,tt0929864,6.9,1777,US
Ticker,movie,"Action, Crime, Thriller",2001,tt0196158,3.5,7848,US
"Sweet Land",movie,"Drama, Romance",2005,tt0428038,7.1,4209,"BR, CL, CO, MX, US"
"The Calcium Kid",movie,"Comedy, Sport",2004,tt0330111,5.6,4823,"AT, CH, DE, FR"
"Sixty Six",movie,"Biography, Comedy, Drama",2006,tt0493450,6.7,3216,"AT, CH, DE, FR"
"In from the Night",movie,Drama,2006,tt0433575,6.4,404,US
R.O.T.O.R.,movie,"Action, Sci-Fi, Thriller",1987,tt0098156,2.7,3851,US
"A Dog Named Christmas",movie,"Drama, Family",2009,tt1519929,7.4,1497,US
"The Courageous Heart of Irena Sendler",movie,"Biography, Drama, History",2009,tt1010278,7.2,4760,US
"Richard III",movie,"Drama, Sci-Fi, War",1995,tt0114279,7.3,15796,US
"Cairo Time",movie,"Drama, Romance",2009,tt0896529,6.6,6901,US
"Making Plans for Lena",movie,Drama,2009,tt1485762,6,1026,US
"Quand j'étais chanteur",movie,"Drama, Music, Romance",2006,tt0464828,6.4,2336,DE
"Car 54, Where Are You?",movie,Comedy,1994,tt0109376,2.6,4569,US
"Alien from L.A.",movie,"Adventure, Comedy, Sci-Fi",1988,tt0092532,3.2,4459,US
Satantango,movie,Drama,1994,tt0111341,8.2,12951,GB
"Eyes Without a Face",movie,"Drama, Horror",1960,tt0053459,7.6,36428,GB
"Lust for a Vampire",movie,Horror,1971,tt0067367,5.7,3771,"CA, US"
Indian,movie,"Action, Drama, Thriller",1996,tt0116630,8.1,15196,IN
"A Woman Is a Woman",movie,"Comedy, Drama, Romance",1961,tt0055572,7.3,19491,DE
"The Legend of Bhagat Singh",movie,"Action, Biography, Drama",2002,tt0319736,8.1,17548,IN
"American Buffalo",movie,Drama,1996,tt0115530,5.8,4103,US
"Body Bags",movie,"Comedy, Horror, Sci-Fi",1993,tt0106449,6.2,13193,"CA, US"
Flawless,movie,"Crime, Drama",1999,tt0155711,6.4,20384,"BR, CL, CO, MX"
"Kill Me Again",movie,"Action, Crime, Drama",1989,tt0097662,6.3,5866,US
"The Bad Sleep Well",movie,"Crime, Drama, Thriller",1960,tt0054460,8,14449,GB
"The Killer Elite",movie,"Action, Crime, Thriller",1975,tt0073240,6,7459,US
"Heaven & Earth",movie,"Action, Biography, Drama",1993,tt0107096,6.8,15331,DE
"The Mean Season",movie,"Crime, Thriller",1985,tt0089572,6.1,5263,US
"Desperate Hours",movie,"Action, Crime, Drama",1990,tt0099409,5.4,8721,BR
"The Hunchback of Notre Dame",movie,"Drama, Romance",1939,tt0031455,7.8,12582,DE
"Death Ship",movie,"Adventure, Horror, Mystery",1980,tt0080603,4.8,5913,CA
"A Huey P. Newton Story",movie,"Biography, Documentary, Drama",2001,tt0278490,7.1,862,US
"Be My Valentine, Charlie Brown",movie,"Animation, Comedy, Family",1975,tt0072687,7.3,3005,"AE, AG, AR, AT, AU, AZ, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CV, CY, CZ, DE, DK, DO, EC, EE, EG, ES, FI, FJ, FR, GB, GH, GR, GT, HK, HN, HU, ID, IE, IL, IN, IT, JO, JP, KR, LB, LT, LU, LV, MD, MT, MU, MX, MY, MZ, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PT, PY, QA, RU, SA, SE, SG, SI, SK, SV, TH, TT, TW, UA, UG, US, VE, ZA"
Hachi-ko,movie,"Biography, Drama, Family",1987,tt0093132,8,5996,DE
"Young Soul Rebels",movie,"Drama, Music, Mystery",1991,tt0103312,6.2,668,GB
"U Me Aur Hum",movie,"Drama, Romance",2008,tt1039995,5.8,2699,"AU, IN, US"
"Gainsbourg: A Heroic Life",movie,"Biography, Drama, Music",2010,tt1329457,6.9,10397,DE
Prophecy,movie,"Horror, Sci-Fi, Thriller",1979,tt0079758,5.6,6372,US
Murder!,movie,"Crime, Mystery, Thriller",1930,tt0021165,6.3,7178,DE
"Another Country",movie,"Biography, Drama, Romance",1984,tt0086904,7,7206,"CA, US"
"Witchfinder General",movie,"Drama, Horror",1968,tt0063285,6.7,12715,GB
"Dante's Inferno: An Animated Epic",movie,"Action, Adventure, Animation",2010,tt1401113,6.5,10424,"BR, CO, MX"
Played,movie,"Crime, Drama, Thriller",2006,tt0460902,4.3,1511,US
"Hurricane Season",movie,"Drama, Sport",2009,tt1172998,6.5,3264,"BR, CL, CO, MX"
"Love at Large",movie,"Comedy, Drama, Mystery",1990,tt0100065,5.7,1516,US
"The Cassandra Crossing",movie,"Drama, Thriller",1976,tt0074292,6.3,10197,"CA, US"
"Still of the Night",movie,"Crime, Drama, Mystery",1982,tt0084732,6,6436,BR
"Making Mr. Right",movie,"Comedy, Romance, Sci-Fi",1987,tt0093477,5.5,3186,US
"The Scalphunters",movie,"Comedy, Drama, Western",1968,tt0063557,6.7,4663,US
Inserts,movie,"Comedy, Drama",1975,tt0073172,6.3,2498,US
"Ten Seconds to Hell",movie,"Action, Drama, Romance",1959,tt0053341,6.5,1252,US
"Company Business",movie,"Action, Comedy, Crime",1991,tt0101606,5.7,3363,US
"A Dry White Season",movie,"Drama, Thriller",1989,tt0097243,7,6385,US
"Cohen and Tate",movie,"Action, Crime, Drama",1988,tt0097074,6.3,2761,US
"The Hospital",movie,"Comedy, Drama, Mystery",1971,tt0067217,7.1,7516,US
"The Chocolate War",movie,Drama,1988,tt0094869,6.6,2496,US
Attack,movie,"Action, Drama, War",1956,tt0048966,7.4,6053,US
Dare,movie,"Drama, Romance",2009,tt1241316,5.8,4531,US
Barquero,movie,"Drama, Western",1970,tt0065451,6.3,2131,US
"Billy Two Hats",movie,"Drama, Romance, Western",1974,tt0069786,6.3,1859,US
"It All Starts Today",movie,Drama,1999,tt0186730,7.4,2938,DE
"Dreams That Money Can Buy",movie,"Drama, Fantasy",1947,tt0039340,6.7,971,GB
"Bullet Boy",movie,"Action, Drama",2004,tt0385568,6.5,2779,GB
"The Man in the White Suit",movie,"Comedy, Drama, Sci-Fi",1951,tt0044876,7.2,10992,GB
"X: The Man with the X-Ray Eyes",movie,"Horror, Sci-Fi, Thriller",1963,tt0057693,6.6,8566,US
Angela,movie,Drama,1995,tt0112364,6.3,1101,US
"Personal Velocity",movie,"Drama, Romance",2002,tt0295238,6.5,3980,"BR, CL, CO, MX"
"The Two Jakes",movie,"Crime, Drama, Mystery",1990,tt0100828,6.1,15874,US
Misty,movie,"Drama, Family",1961,tt0055186,6.5,389,US
"Come Dance at My Wedding",movie,Drama,2009,tt1355235,6.3,785,US
"The Good Witch",movie,"Family, Fantasy, Romance",2008,tt1105729,7.1,5059,US
"Out of Season",movie,"Crime, Drama, Thriller",2004,tt0366860,4.3,811,US
"The Lavender Hill Mob",movie,"Comedy, Crime",1951,tt0044829,7.5,15968,DE
"Raat Gayi, Baat Gayi?",movie,"Comedy, Drama",2009,tt1210356,6.3,579,IN
"Mimic: Sentinel",movie,"Horror, Sci-Fi, Thriller",2003,tt0330634,4.2,4273,US
"Deadly Blessing",movie,"Horror, Thriller",1981,tt0082245,5.5,7265,IN
"Billy Connolly: Big Banana Feet",movie,"Comedy, Documentary, Music",1977,tt0231265,7.6,92,GB
Chameli,movie,Drama,2003,tt0383975,6.8,2556,IN
"A Zed & Two Noughts",movie,"Comedy, Drama",1985,tt0090366,7.2,7736,GB
"Good Old Daze",movie,"Comedy, Drama, Romance",1994,tt0110922,7.2,3359,FR
Vivah,movie,"Drama, Musical, Romance",2006,tt0494290,6.7,11186,IN
"Om Jai Jagadish",movie,"Drama, Musical, Romance",2002,tt0327071,5.5,2201,"AU, IN, US"
Jumbo,movie,"Animation, Family",2008,tt30397483,7.4,51,US
"Black Tuesday",movie,"Crime, Drama, Film-Noir",1954,tt0046790,6.7,848,US
